model,quantization,dataset,iteration,time_to_analyze,gpu_util_mean,gpu_util_max,vram_util_mean,vram_util_max,vram_max_usage_mib
MIS,AQLM,BTHS,10,319.02774202730507,55.531864673485444,100.0,19.116443745082613,49.0,4677.0
MIS,AQLM,HW,1,410.9423976317048,53.3575350823673,100.0,17.38804148871263,52.0,4045.0
MIS,AQLM,HW,2,424.1461882388685,52.55358200118413,100.0,17.069271758436944,53.0,4045.0
MIS,AQLM,HW,3,289.81533265672624,51.385615251299825,100.0,16.1421143847487,52.0,4045.0
MIS,AQLM,HW,4,557.2752189447638,54.53306342780027,100.0,17.86459739091318,52.0,4257.0
MIS,AQLM,HW,5,413.80439255875535,52.8287795992714,100.0,17.21372191863995,52.0,4045.0
MIS,AQLM,HW,6,283.6234721583314,52.044326241134755,100.0,16.194148936170212,52.0,4045.0
MIS,AQLM,HW,7,561.8828995211516,54.2256913470116,100.0,17.7921498661909,53.0,4045.0
MIS,AQLM,HW,8,613.9416953362525,53.01798120147119,100.0,17.278708622803432,52.0,4045.0
MIS,AQLM,HW,9,378.2978012058884,51.44827586206897,100.0,16.02785145888594,52.0,4045.0
MIS,AQLM,HW,10,406.1945330980234,54.263288009888754,100.0,17.69839307787392,52.0,4257.0
MIS,AQLM,MOZILLA,1,114.52027566614561,57.673289183222956,100.0,20.65783664459161,48.0,4207.0
MIS,AQLM,MOZILLA,2,155.64999710721895,57.11974110032362,100.0,20.475728155339805,48.0,4693.0
MIS,AQLM,MOZILLA,3,613.931093843421,57.94156109521864,100.0,21.328156926849204,48.0,4531.0
MIS,AQLM,MOZILLA,4,343.8704367065802,60.961228968544255,100.0,23.204096561814193,48.0,4483.0
MIS,AQLM,MOZILLA,5,937.4580018247943,63.88249464668094,100.0,25.730995717344754,47.0,4607.0
MIS,AQLM,MOZILLA,6,959.9705316661857,64.9650130548303,100.0,26.05900783289817,48.0,4673.0
MIS,AQLM,MOZILLA,7,77.18393093161285,61.28712871287129,100.0,22.782178217821784,48.0,4607.0
MIS,AQLM,MOZILLA,8,250.62066069198772,62.48743718592965,100.0,24.162814070351757,48.0,4345.0
MIS,AQLM,MOZILLA,9,451.74175408063456,60.31406336853808,100.0,22.291828793774318,48.0,4527.0
MIS,AQLM,MOZILLA,10,77.97889582952484,54.98705501618123,100.0,18.812297734627833,50.0,4367.0
MIS,AWQ,AMINA,1,34.018210771726444,68.4076923076923,100.0,30.384615384615383,69.0,5913.0
MIS,AWQ,AMINA,2,24.237692661816254,62.065934065934066,100.0,20.208791208791208,52.0,5419.0
MIS,AWQ,AMINA,3,459.82792428554967,64.9896288209607,100.0,21.016921397379914,69.0,5951.0
MIS,AWQ,AMINA,4,28.874505021609366,64.74545454545455,100.0,26.681818181818183,69.0,5541.0
MIS,AWQ,AMINA,5,21.19056590157561,66.92207792207792,100.0,24.142857142857142,52.0,5407.0
MIS,AWQ,AMINA,6,26.059283054899424,66.25,100.0,24.0,60.0,5573.0
MIS,AWQ,AMINA,7,18.094341977499425,74.47692307692307,100.0,39.53846153846154,70.0,5541.0
MIS,AWQ,AMINA,8,37.70601147785783,64.1118881118881,100.0,24.986013986013987,70.0,5675.0
MIS,AWQ,AMINA,9,29.592927353456616,59.85585585585586,99.0,18.135135135135137,51.0,5327.0
MIS,AWQ,AMINA,10,21.913339156657457,65.36585365853658,100.0,28.365853658536587,70.0,5473.0
MIS,AWQ,BTHS,1,14.48471847223118,65.56521739130434,100.0,24.67391304347826,68.0,6089.0
MIS,AWQ,BTHS,2,13.607932802988216,65.4375,100.0,26.375,68.0,6089.0
MIS,AWQ,BTHS,3,13.601348247844726,64.14583333333333,100.0,25.083333333333332,68.0,6089.0
MIS,AWQ,BTHS,4,13.641864959849045,64.55102040816327,100.0,26.73469387755102,68.0,6089.0
MIS,AWQ,BTHS,5,13.556235190015286,62.3,100.0,24.24,68.0,6089.0
MIS,AWQ,BTHS,6,13.536416529677808,66.33333333333333,100.0,27.75,68.0,6089.0
MIS,AWQ,BTHS,7,13.766627452103421,64.16,100.0,26.94,68.0,6089.0
MIS,AWQ,BTHS,8,13.594274229370058,65.21739130434783,100.0,26.0,68.0,6089.0
MIS,AWQ,BTHS,9,13.556485967710614,65.38775510204081,100.0,27.693877551020407,68.0,6089.0
