model,quantization,dataset,iteration,accuracy,recall,precision,f1,balanced_accuracy,specificity
MIS,AQLM,MOZILLA,3,0.93,0.15,0.14285714285714285,0.14634146341463414,0.553683268714584,0.964509394572025
MIS,AQLM,MOZILLA,4,0.826,0.25,0.06493506493506493,0.10309278350515462,0.5147370360136317,0.9645390070921985
MIS,AQLM,MOZILLA,5,0.8591304347826086,0.17391304347826086,0.06060606060606061,0.08988764044943821,0.5116389831517533,0.962671905697446
MIS,AQLM,MOZILLA,6,0.9478260869565217,0.0,0.0,0.0,0.47975352112676056,0.9595070422535211
MIS,AQLM,MOZILLA,7,0.8909090909090909,0.18181818181818182,0.08695652173913043,0.1176470588235294,0.5256211180124224,0.9642857142857143
MIS,AQLM,MOZILLA,8,0.9123809523809524,0.0,0.0,0.0,0.479,0.958
MIS,AQLM,MOZILLA,9,0.9,0.16666666666666666,0.09090909090909091,0.11764705882352942,0.527468933943754,0.9640287769784173
MIS,AQLM,MOZILLA,10,0.9073684210526316,0.2631578947368421,0.14285714285714285,0.18518518518518517,0.5555194805194805,0.9681818181818181
MIS,AWQ,AMINA,1,0.983,0.7073170731707317,0.8529411764705882,0.7733333333333334,0.9202594081110704,0.9875776397515528
MIS,AWQ,AMINA,2,0.9974193548387097,0.9354838709677419,1.0,0.9666666666666666,0.9986595174262735,0.9973190348525469
MIS,AWQ,AMINA,3,0.9842105263157894,0.6153846153846154,1.0,0.761904761904762,0.9919006479481641,0.9838012958963283
MIS,AWQ,AMINA,4,0.9896774193548387,0.9032258064516129,0.8484848484848485,0.875,0.9222208609001061,0.9959568733153639
MIS,AWQ,AMINA,5,0.9974193548387097,0.9354838709677419,1.0,0.9666666666666666,0.9986595174262735,0.9973190348525469
MIS,AWQ,AMINA,6,0.984,0.8666666666666667,0.7647058823529411,0.8125,0.8795596450870851,0.994413407821229
MIS,AWQ,AMINA,7,0.9675675675675676,0.6216216216216216,0.5897435897435898,0.6052631578947368,0.786971117670892,0.9841986455981941
MIS,AWQ,AMINA,8,0.9856410256410256,0.6666666666666666,0.9629629629629629,0.7878787878787878,0.9746249413970933,0.9862869198312236
MIS,AWQ,AMINA,9,0.9946666666666667,0.9032258064516129,0.9655172413793104,0.9333333333333333,0.9806781768616386,0.9958391123439667
MIS,AWQ,AMINA,10,0.995,0.875,1.0,0.9333333333333333,0.9974093264248705,0.9948186528497409
MIS,AWQ,BTHS,1,0.5833333333333334,0.09090909090909091,1.0,0.16666666666666669,0.7826086956521738,0.5652173913043478
