model,quantization,dataset,iteration,time_to_analyze,vram_max_usage_mib
MIS,NONE,HW,9,4.267384024802595,15491.0
MIS,NONE,HW,10,4.259808142669499,15491.0
MIS,NONE,MOZILLA,1,14.213722370797768,15861.0
MIS,NONE,MOZILLA,2,15.127266890602186,16347.0
MIS,NONE,MOZILLA,3,13.012432424584404,16183.0
MIS,NONE,MOZILLA,4,17.041949344566092,16139.0
MIS,NONE,MOZILLA,5,20.068776025203988,16193.0
MIS,NONE,MOZILLA,6,16.912891637533903,16167.0
MIS,NONE,MOZILLA,7,14.61699576373212,16263.0
MIS,NONE,MOZILLA,8,15.326838355278596,16069.0
MIS,NONE,MOZILLA,9,18.03003607620485,16179.0
MIS,NONE,MOZILLA,10,11.101435688557103,15883.0
