model,quantization,dataset,iteration,accuracy,recall,precision,f1,balanced_accuracy,specificity
MIS,AWQ,SNAKE,5,0.9848484848484849,1.0,0.8333333333333334,0.9090909090909091,0.9166666666666667,1.0
MIS,AWQ,SNAKE,6,0.9848484848484849,1.0,0.8333333333333334,0.9090909090909091,0.9166666666666667,1.0
MIS,AWQ,SNAKE,7,0.9848484848484849,1.0,0.8333333333333334,0.9090909090909091,0.9166666666666667,1.0
MIS,AWQ,SNAKE,8,0.9848484848484849,1.0,0.8333333333333334,0.9090909090909091,0.9166666666666667,1.0
MIS,AWQ,SNAKE,9,0.9848484848484849,1.0,0.8333333333333334,0.9090909090909091,0.9166666666666667,1.0
MIS,AWQ,SNAKE,10,0.9848484848484849,1.0,0.8333333333333334,0.9090909090909091,0.9166666666666667,1.0
MIS,NONE,BTHS,1,0.8583333333333333,0.15,1.0,0.2608695652173913,0.9273504273504274,0.8547008547008547
MIS,NONE,BTHS,2,0.8583333333333333,0.15,1.0,0.2608695652173913,0.9273504273504274,0.8547008547008547
MIS,NONE,BTHS,3,0.8583333333333333,0.15,1.0,0.2608695652173913,0.9273504273504274,0.8547008547008547
MIS,NONE,BTHS,4,0.8583333333333333,0.15,1.0,0.2608695652173913,0.9273504273504274,0.8547008547008547
MIS,NONE,BTHS,5,0.8583333333333333,0.15,1.0,0.2608695652173913,0.9273504273504274,0.8547008547008547
MIS,NONE,BTHS,6,0.8583333333333333,0.15,1.0,0.2608695652173913,0.9273504273504274,0.8547008547008547
MIS,NONE,BTHS,7,0.8583333333333333,0.15,1.0,0.2608695652173913,0.9273504273504274,0.8547008547008547
MIS,NONE,BTHS,8,0.8833333333333333,0.3,1.0,0.4615384615384615,0.9385964912280702,0.8771929824561403
MIS,NONE,BTHS,9,0.8583333333333333,0.15,1.0,0.2608695652173913,0.9273504273504274,0.8547008547008547
MIS,NONE,BTHS,10,0.85,0.1,1.0,0.18181818181818182,0.923728813559322,0.847457627118644
MIS,NONE,ENCO,1,0.9926829268292683,0.7608695652173914,0.9722222222222222,0.853658536585366,0.9826821834303131,0.993142144638404
MIS,NONE,ENCO,2,0.9926829268292683,0.7608695652173914,0.9722222222222222,0.853658536585366,0.9826821834303131,0.993142144638404
MIS,NONE,ENCO,3,0.9926829268292683,0.7608695652173914,0.9722222222222222,0.853658536585366,0.9826821834303131,0.993142144638404
MIS,NONE,ENCO,4,0.9926829268292683,0.7608695652173914,0.9722222222222222,0.853658536585366,0.9826821834303131,0.993142144638404
MIS,NONE,ENCO,5,0.9926829268292683,0.7608695652173914,0.9722222222222222,0.853658536585366,0.9826821834303131,0.993142144638404
MIS,NONE,ENCO,6,0.9926829268292683,0.7608695652173914,0.9722222222222222,0.853658536585366,0.9826821834303131,0.993142144638404
MIS,NONE,ENCO,7,0.9926829268292683,0.7608695652173914,0.9722222222222222,0.853658536585366,0.9826821834303131,0.993142144638404
MIS,NONE,ENCO,8,0.9926829268292683,0.7608695652173914,0.9722222222222222,0.853658536585366,0.9826821834303131,0.993142144638404
MIS,NONE,ENCO,9,0.9926829268292683,0.7608695652173914,0.9722222222222222,0.853658536585366,0.9826821834303131,0.993142144638404
MIS,NONE,ENCO,10,0.9926829268292683,0.7608695652173914,0.9722222222222222,0.853658536585366,0.9826821834303131,0.993142144638404
